iter	Passed	Remaining
0	139	13858
1	145	7112
2	149	4819
3	151	3647
4	155	2960
5	163	2555
6	166	2207
7	168	1938
8	170	1725
9	173	1558
10	175	1416
11	176	1296
12	178	1195
13	180	1108
14	181	1031
15	183	963
16	184	902
17	186	849
18	187	800
19	189	756
20	190	716
21	191	679
22	192	645
23	194	614
24	195	586
25	196	559
26	197	535
27	199	512
28	200	490
29	202	471
30	203	453
31	204	435
32	206	419
33	207	403
34	209	388
35	210	375
36	212	361
37	214	349
38	216	338
39	218	327
40	220	316
41	220	305
42	222	294
43	224	285
44	226	276
45	229	268
46	231	260
47	232	252
48	234	244
49	236	236
50	241	231
51	242	224
52	250	222
53	252	215
54	253	207
55	255	200
56	256	193
57	260	188
58	263	182
59	264	176
60	266	170
61	268	164
62	269	158
63	271	152
64	272	146
65	275	141
66	277	136
67	279	131
68	280	126
69	282	121
70	284	116
71	285	111
72	287	106
73	289	101
74	291	97
75	293	92
76	295	88
77	297	83
78	299	79
79	301	75
80	303	71
81	306	67
82	308	63
83	310	59
84	312	55
85	314	51
86	315	47
87	317	43
88	319	39
89	321	35
90	324	32
91	325	28
92	327	24
93	331	21
94	332	17
95	334	13
96	335	10
97	337	6
98	340	3
99	341	0
