iter	Passed	Remaining
0	159	159062
1	161	80730
2	164	54510
3	165	41242
4	171	34079
5	175	29039
6	177	25141
7	185	23060
8	189	20897
9	191	18994
10	198	17845
11	202	16698
12	205	15622
13	207	14626
14	214	14057
15	216	13302
16	218	12621
17	220	12009
18	222	11483
19	230	11296
20	234	10913
21	235	10489
22	243	10340
23	249	10144
24	251	9816
25	257	9635
26	263	9507
27	266	9243
28	271	9096
29	277	8965
30	279	8736
31	281	8527
32	283	8321
33	291	8276
34	293	8095
35	295	7919
36	297	7754
37	302	7660
38	306	7564
39	309	7421
40	311	7286
41	314	7167
42	317	7063
43	320	6965
44	323	6861
45	325	6742
46	326	6629
47	328	6524
48	334	6483
49	336	6389
50	338	6290
51	339	6192
52	341	6097
53	344	6031
54	349	6012
55	351	5930
56	353	5847
57	355	5772
58	358	5717
59	364	5708
60	368	5680
61	370	5612
62	372	5542
63	374	5473
64	379	5454
65	383	5429
66	386	5379
67	388	5319
68	389	5258
69	392	5220
70	396	5187
71	398	5135
72	400	5081
73	401	5029
74	403	4980
75	407	4952
76	410	4925
77	412	4880
78	414	4834
79	416	4792
80	418	4746
81	420	4703
82	421	4657
83	424	4629
84	426	4591
85	428	4550
86	429	4509
87	433	4487
88	434	4448
89	437	4428
90	440	4402
91	442	4367
92	444	4337
93	448	4322
94	454	4330
95	457	4306
96	462	4302
97	464	4273
98	468	4261
99	472	4249
100	478	4255
101	480	4229
102	485	4232
103	489	4219
104	491	4192
105	496	4187
106	502	4190
107	506	4180
108	509	4167
109	521	4219
110	524	4197
111	534	4235
112	536	4209
113	538	4188
114	541	4163
115	548	4176
116	549	4150
117	551	4123
118	553	4096
119	554	4069
120	556	4044
121	559	4029
122	562	4013
123	564	3990
124	566	3964
125	568	3942
126	569	3915
127	571	3892
128	575	3888
129	577	3865
130	579	3842
131	580	3820
132	582	3797
133	584	3777
134	586	3755
135	588	3740
136	591	3726
137	593	3704
138	594	3683
139	596	3661
140	597	3639
141	598	3615
142	599	3593
143	601	3572
144	603	3556
145	606	3546
146	607	3527
147	609	3507
148	611	3493
149	613	3477
150	615	3459
151	616	3440
152	622	3445
153	624	3430
154	626	3415
155	628	3399
156	629	3382
157	631	3364
158	635	3363
159	637	3347
160	638	3329
161	640	3313
162	642	3298
163	644	3283
164	645	3267
165	649	3263
166	651	3249
167	653	3234
168	654	3219
169	656	3204
170	657	3188
171	659	3174
172	661	3160
173	664	3156
174	666	3143
175	669	3132
176	670	3119
177	672	3107
178	675	3096
179	680	3099
180	682	3087
181	684	3075
182	686	3064
183	688	3054
184	690	3043
185	693	3033
186	695	3023
187	697	3013
188	699	3003
189	702	2993
190	706	2994
191	709	2983
192	711	2975
193	713	2964
194	715	2955
195	717	2944
196	721	2939
197	723	2929
198	725	2918
199	727	2910
200	729	2900
201	732	2892
202	736	2891
203	738	2882
204	741	2874
205	743	2864
206	745	2854
207	747	2845
208	752	2846
209	754	2838
210	756	2829
211	759	2823
212	763	2820
213	768	2822
214	770	2812
215	771	2801
216	773	2791
217	775	2781
218	777	2772
219	778	2761
220	782	2758
221	784	2747
222	785	2737
223	787	2728
224	788	2717
225	790	2707
226	792	2699
227	797	2699
228	798	2689
229	800	2680
230	802	2670
231	804	2661
232	805	2652
233	807	2642
234	809	2636
235	811	2628
236	813	2618
237	814	2608
238	816	2600
239	817	2590
240	819	2579
241	820	2570
242	822	2561
243	825	2556
244	826	2547
245	827	2537
246	829	2528
247	830	2518
248	831	2508
249	832	2498
250	834	2490
251	836	2482
252	837	2472
253	840	2468
254	842	2460
255	843	2450
256	844	2441
257	845	2432
258	846	2423
259	849	2417
260	850	2408
261	854	2406
262	856	2400
263	858	2392
264	859	2384
265	861	2376
266	863	2369
267	864	2361
268	866	2353
269	869	2351
270	871	2344
271	872	2336
272	874	2328
273	875	2320
274	877	2312
275	878	2304
276	880	2297
277	883	2295
278	886	2291
279	888	2285
280	890	2278
281	891	2270
282	893	2263
283	895	2258
284	900	2260
285	903	2254
286	905	2249
287	906	2242
288	908	2235
289	911	2230
290	913	2226
291	916	2222
292	919	2217
293	922	2214
294	925	2211
295	927	2205
296	931	2204
297	933	2199
298	937	2198
299	940	2195
300	954	2216
301	960	2219
302	962	2214
303	969	2220
304	977	2227
305	985	2233
306	990	2236
307	993	2231
308	1008	2254
309	1024	2279
310	1027	2275
311	1037	2288
312	1041	2286
313	1055	2305
314	1057	2299
315	1059	2292
316	1065	2295
317	1070	2295
318	1072	2289
319	1078	2292
320	1081	2287
321	1083	2282
322	1086	2276
323	1088	2271
324	1097	2279
325	1099	2273
326	1101	2266
327	1104	2261
328	1111	2267
329	1113	2261
330	1115	2255
331	1133	2281
332	1135	2275
333	1140	2274
334	1145	2274
335	1147	2268
336	1149	2261
337	1151	2254
338	1154	2250
339	1157	2246
340	1158	2239
341	1160	2232
342	1162	2226
343	1165	2222
344	1169	2221
345	1172	2215
346	1173	2209
347	1176	2203
348	1178	2199
349	1183	2198
350	1185	2192
351	1187	2185
352	1188	2179
353	1190	2173
354	1193	2168
355	1198	2168
356	1200	2162
357	1202	2156
358	1204	2151
359	1206	2145
360	1208	2138
361	1210	2133
362	1214	2130
363	1215	2124
364	1217	2118
365	1220	2113
366	1221	2107
367	1223	2101
368	1227	2099
369	1229	2093
370	1230	2086
371	1232	2080
372	1233	2073
373	1235	2067
374	1236	2060
375	1237	2054
376	1240	2049
377	1242	2045
378	1244	2038
379	1245	2032
380	1247	2026
381	1248	2020
382	1249	2013
383	1251	2007
384	1252	2000
385	1254	1995
386	1257	1992
387	1260	1987
388	1261	1981
389	1264	1977
390	1267	1973
391	1269	1969
392	1271	1964
393	1274	1959
394	1275	1954
395	1277	1948
396	1279	1943
397	1281	1938
398	1283	1933
399	1288	1933
400	1290	1928
401	1293	1924
402	1295	1919
403	1297	1914
404	1299	1909
405	1302	1906
406	1304	1901
407	1306	1895
408	1308	1891
409	1310	1885
410	1311	1880
411	1314	1876
412	1317	1872
413	1319	1867
414	1321	1863
415	1323	1858
416	1325	1852
417	1326	1847
418	1329	1843
419	1331	1838
420	1333	1834
421	1335	1829
422	1337	1824
423	1339	1819
424	1340	1814
425	1342	1809
426	1345	1806
427	1347	1801
428	1349	1796
429	1351	1791
430	1353	1786
431	1355	1781
432	1357	1777
433	1359	1773
434	1362	1769
435	1364	1765
436	1366	1760
437	1369	1756
438	1371	1752
439	1372	1747
440	1375	1743
441	1378	1739
442	1380	1735
443	1383	1731
444	1385	1727
445	1387	1723
446	1392	1722
447	1394	1717
448	1396	1713
449	1398	1709
450	1401	1705
451	1404	1703
452	1409	1701
453	1411	1697
454	1412	1692
455	1415	1688
456	1420	1687
457	1425	1686
458	1427	1682
459	1428	1677
460	1432	1674
461	1435	1671
462	1440	1670
463	1441	1665
464	1443	1660
465	1446	1657
466	1448	1652
467	1455	1654
468	1457	1650
469	1460	1646
470	1462	1642
471	1468	1642
472	1470	1638
473	1472	1634
474	1475	1631
475	1478	1627
476	1484	1627
477	1486	1622
478	1488	1618
479	1491	1616
480	1494	1612
481	1503	1615
482	1510	1616
483	1519	1620
484	1524	1618
485	1525	1613
486	1534	1616
487	1536	1611
488	1539	1608
489	1540	1603
490	1547	1604
491	1550	1600
492	1553	1597
493	1555	1593
494	1556	1588
495	1562	1587
496	1566	1585
497	1567	1580
498	1569	1575
499	1570	1570
500	1576	1569
501	1578	1565
502	1580	1561
503	1584	1559
504	1586	1555
505	1588	1551
506	1590	1546
507	1592	1542
508	1594	1537
509	1596	1533
510	1599	1530
511	1601	1526
512	1603	1522
513	1605	1517
514	1607	1513
515	1609	1509
516	1610	1504
517	1613	1501
518	1616	1497
519	1617	1493
520	1619	1488
521	1620	1484
522	1622	1479
523	1624	1475
524	1626	1471
525	1630	1469
526	1633	1466
527	1637	1464
528	1639	1460
529	1644	1457
530	1646	1454
531	1650	1452
532	1652	1448
533	1655	1444
534	1658	1441
535	1662	1439
536	1665	1436
537	1667	1431
538	1669	1427
539	1671	1423
540	1674	1420
541	1679	1419
542	1681	1415
543	1683	1410
544	1685	1406
545	1687	1403
546	1690	1400
547	1693	1396
548	1695	1392
549	1697	1388
550	1699	1384
551	1702	1381
552	1706	1379
553	1708	1375
554	1710	1371
555	1713	1368
556	1715	1364
557	1719	1361
558	1721	1357
559	1723	1354
560	1726	1351
561	1728	1346
562	1729	1342
563	1732	1339
564	1735	1335
565	1737	1332
566	1739	1328
567	1741	1324
568	1742	1320
569	1745	1316
570	1749	1314
571	1751	1310
572	1753	1306
573	1755	1302
574	1757	1298
575	1759	1295
576	1761	1290
577	1763	1287
578	1765	1283
579	1767	1280
580	1769	1276
581	1771	1272
582	1773	1268
583	1775	1264
584	1778	1261
585	1780	1257
586	1782	1253
587	1783	1249
588	1786	1246
589	1787	1242
590	1789	1238
591	1793	1235
592	1794	1231
593	1796	1227
594	1797	1223
595	1801	1221
596	1802	1217
597	1805	1213
598	1808	1210
599	1810	1206
600	1811	1202
601	1815	1200
602	1817	1196
603	1818	1192
604	1822	1190
605	1824	1186
606	1826	1182
607	1827	1178
608	1829	1174
609	1831	1170
610	1832	1166
611	1834	1163
612	1837	1160
613	1839	1156
614	1841	1152
615	1842	1148
616	1844	1144
617	1845	1140
618	1847	1137
619	1850	1134
620	1852	1130
621	1854	1127
622	1856	1123
623	1858	1119
624	1859	1115
625	1861	1112
626	1862	1108
627	1865	1104
628	1868	1101
629	1869	1098
630	1870	1094
631	1872	1090
632	1874	1086
633	1876	1083
634	1877	1079
635	1879	1075
636	1882	1072
637	1884	1069
638	1885	1065
639	1889	1062
640	1891	1059
641	1893	1055
642	1897	1053
643	1898	1049
644	1901	1046
645	1902	1042
646	1904	1039
647	1905	1035
648	1907	1031
649	1911	1029
650	1912	1025
651	1913	1021
652	1916	1018
653	1918	1015
654	1920	1011
655	1922	1007
656	1923	1004
657	1925	1001
658	1927	997
659	1928	993
660	1930	990
661	1932	986
662	1933	982
663	1935	979
664	1936	975
665	1938	972
666	1941	969
667	1943	965
668	1945	962
669	1947	959
670	1949	955
671	1951	952
672	1953	949
673	1957	946
674	1959	943
675	1960	939
676	1963	936
677	1964	933
678	1966	929
679	1970	927
680	1972	923
681	1974	920
682	1977	917
683	1979	914
684	1981	911
685	1985	908
686	1987	905
687	1990	902
688	1992	899
689	1995	896
690	2000	894
691	2003	891
692	2004	888
693	2006	884
694	2009	881
695	2012	879
696	2015	876
697	2018	873
698	2019	869
699	2021	866
700	2023	863
701	2025	860
702	2031	858
703	2033	855
704	2036	852
705	2039	849
706	2041	846
707	2045	843
708	2047	840
709	2049	837
710	2051	833
711	2053	830
712	2056	827
713	2060	825
714	2063	822
715	2066	819
716	2068	816
717	2070	813
718	2072	809
719	2075	807
720	2077	803
721	2079	800
722	2081	797
723	2083	794
724	2086	791
725	2088	788
726	2091	785
727	2093	782
728	2095	778
729	2096	775
730	2098	772
731	2100	769
732	2104	766
733	2106	763
734	2108	760
735	2109	756
736	2111	753
737	2114	750
738	2115	747
739	2118	744
740	2121	741
741	2122	738
742	2124	734
743	2125	731
744	2127	728
745	2128	724
746	2129	721
747	2131	718
748	2134	715
749	2136	712
750	2137	708
751	2138	705
752	2140	702
753	2141	698
754	2142	695
755	2144	692
756	2147	689
757	2149	686
758	2150	682
759	2152	679
760	2153	676
761	2154	673
762	2156	669
763	2157	666
764	2159	663
765	2161	660
766	2163	657
767	2164	653
768	2165	650
769	2167	647
770	2168	644
771	2170	640
772	2171	637
773	2173	634
774	2174	631
775	2176	628
776	2178	625
777	2179	621
778	2181	618
779	2182	615
780	2183	612
781	2185	609
782	2186	606
783	2188	602
784	2189	599
785	2192	596
786	2193	593
787	2195	590
788	2196	587
789	2197	584
790	2199	581
791	2201	578
792	2202	574
793	2205	572
794	2207	569
795	2208	566
796	2209	562
797	2211	559
798	2212	556
799	2214	553
800	2215	550
801	2216	547
802	2217	544
803	2220	541
804	2222	538
805	2223	535
806	2225	532
807	2226	529
808	2227	526
809	2229	522
810	2230	519
811	2231	516
812	2234	513
813	2236	510
814	2237	507
815	2238	504
816	2240	501
817	2242	498
818	2243	495
819	2244	492
820	2246	489
821	2248	486
822	2249	483
823	2250	480
824	2252	477
825	2253	474
826	2255	471
827	2257	468
828	2258	465
829	2260	462
830	2261	459
831	2262	456
832	2263	453
833	2265	450
834	2266	447
835	2267	444
836	2269	441
837	2271	439
838	2272	436
839	2273	433
840	2275	430
841	2276	427
842	2277	424
843	2279	421
844	2280	418
845	2282	415
846	2287	413
847	2289	410
848	2291	407
849	2292	404
850	2294	401
851	2296	398
852	2298	396
853	2302	393
854	2303	390
855	2305	387
856	2306	384
857	2307	381
858	2309	379
859	2310	376
860	2312	373
861	2316	370
862	2318	368
863	2320	365
864	2322	362
865	2323	359
866	2325	356
867	2327	353
868	2330	351
869	2333	348
870	2336	346
871	2338	343
872	2339	340
873	2343	337
874	2346	335
875	2348	332
876	2350	329
877	2353	326
878	2355	324
879	2358	321
880	2362	319
881	2364	316
882	2367	313
883	2369	310
884	2372	308
885	2377	305
886	2381	303
887	2383	300
888	2385	297
889	2392	295
890	2397	293
891	2399	290
892	2411	288
893	2414	286
894	2426	284
895	2431	282
896	2438	280
897	2441	277
898	2444	274
899	2445	271
900	2454	269
901	2456	266
902	2459	264
903	2461	261
904	2469	259
905	2471	256
906	2474	253
907	2477	250
908	2488	249
909	2490	246
910	2491	243
911	2494	240
912	2497	237
913	2499	235
914	2502	232
915	2504	229
916	2508	227
917	2511	224
918	2512	221
919	2514	218
920	2515	215
921	2517	212
922	2518	210
923	2519	207
924	2524	204
925	2527	201
926	2528	199
927	2530	196
928	2532	193
929	2533	190
930	2537	188
931	2540	185
932	2542	182
933	2544	179
934	2546	177
935	2548	174
936	2554	171
937	2557	169
938	2560	166
939	2562	163
940	2564	160
941	2568	158
942	2570	155
943	2571	152
944	2573	149
945	2574	146
946	2575	144
947	2576	141
948	2578	138
949	2582	135
950	2586	133
951	2589	130
952	2590	127
953	2592	124
954	2594	122
955	2599	119
956	2602	116
957	2604	114
958	2606	111
959	2607	108
960	2609	105
961	2616	103
962	2619	100
963	2621	97
964	2622	95
965	2624	92
966	2630	89
967	2633	87
968	2635	84
969	2637	81
970	2639	78
971	2643	76
972	2648	73
973	2651	70
974	2658	68
975	2662	65
976	2664	62
977	2665	59
978	2670	57
979	2674	54
980	2675	51
981	2677	49
982	2678	46
983	2685	43
984	2691	40
985	2693	38
986	2695	35
987	2701	32
988	2708	30
989	2711	27
990	2717	24
991	2721	21
992	2723	19
993	2727	16
994	2733	13
995	2735	10
996	2738	8
997	2739	5
998	2742	2
999	2752	0
